base_de_dados,year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,pessoal_ocupado_total,pessoal_ocupado_assalariados,segmento
geral,2014,J,Informação e comunicação,60,Atividades de rádio e de televisão,1405.0,80830.0,78899.0,Geral
geral,2014,J,Informação e comunicação,61,Telecomunicações,1422.0,161136.0,158885.0,Geral
geral,2014,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,4087.0,338554.0,330662.0,Geral
geral,2014,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,1259.0,85528.0,83490.0,Geral
geral,2014,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,1829.0,636342.0,628802.0,Geral
geral,2014,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",728.0,204498.0,200557.0,Geral
geral,2014,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",1475.0,88794.0,85971.0,Geral
geral,2014,L,Atividades imobiliárias,68,Atividades imobiliárias,2756.0,99088.0,93864.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",8357.0,225352.0,206536.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,965.0,67384.0,65373.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,3730.0,243446.0,236524.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,66.0,19508.0,19389.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,1608.0,87684.0,85139.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",1117.0,57925.0,55861.0,Geral
geral,2014,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,112.0,2652.0,2369.0,Geral
geral,2014,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,4978.0,202478.0,194610.0,Geral
geral,2014,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",2656.0,676159.0,672217.0,Geral
geral,2014,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",1419.0,52950.0,50394.0,Geral
geral,2014,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",3292.0,738683.0,733969.0,Geral
geral,2014,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,7334.0,1089928.0,1079596.0,Geral
geral,2014,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",9922.0,894832.0,879705.0,Geral
geral,2014,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",86.0,26128.0,26079.0,Geral
geral,2014,P,Educação,85,Educação,22678.0,855335.0,811410.0,Geral
geral,2014,Q,Saúde humana e serviços sociais,86,Atividades de atenção à saúde humana,9862.0,651904.0,620119.0,Geral
geral,2014,Q,Saúde humana e serviços sociais,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",849.0,25490.0,23892.0,Geral
geral,2014,Q,Saúde humana e serviços sociais,88,Serviços de assistência social sem alojamento,7.0,218.0,202.0,Geral
geral,2014,R,"Artes, cultura, esporte e recreação",90,"Atividades artísticas, criativas e de espetáculos",341.0,8100.0,7517.0,Geral
geral,2014,R,"Artes, cultura, esporte e recreação",91,Atividades ligadas ao patrimônio cultural e ambiental,21.0,865.0,817.0,Geral
geral,2014,R,"Artes, cultura, esporte e recreação",92,Atividades de exploração de jogos de azar e apostas,5.0,119.0,114.0,Geral
geral,2014,R,"Artes, cultura, esporte e recreação",93,Atividades esportivas e de recreação e lazer,2947.0,85473.0,80507.0,Geral
geral,2014,S,Outras atividades de serviços,94,Atividades de organizações associativas,116.0,4952.0,4435.0,Geral
geral,2014,S,Outras atividades de serviços,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,2480.0,80444.0,76495.0,Geral
geral,2014,S,Outras atividades de serviços,96,Outras atividades de serviços pessoais,4628.0,131064.0,123333.0,Geral
geral,2014,U,Organismos internacionais e outras instituições extraterritoriais,99,Organismos internacionais e outras instituições extraterritoriais,0.0,0.0,0.0,Geral
geral,2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",1486.0,96868.0,93955.0,Até 8 anos de idade
geral,2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,640.0,26557.0,25431.0,Até 8 anos de idade
geral,2014,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,83.0,2412.0,2237.0,Até 8 anos de idade
geral,2014,B,Indústrias extrativas,5,Extração de carvão mineral,0.0,0.0,0.0,Até 8 anos de idade
geral,2014,B,Indústrias extrativas,6,Extração de petróleo e gás natural,18.0,1713.0,1700.0,Até 8 anos de idade
geral,2014,B,Indústrias extrativas,7,Extração de minerais metálicos,69.0,10385.0,10271.0,Até 8 anos de idade
geral,2014,B,Indústrias extrativas,8,Extração de minerais não-metálicos,426.0,11474.0,10757.0,Até 8 anos de idade
geral,2014,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,61.0,13362.0,13312.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,3476.0,205144.0,199702.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,11,Fabricação de bebidas,201.0,12904.0,12616.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,12,Fabricação de produtos do fumo,11.0,583.0,554.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,13,Fabricação de produtos têxteis,1081.0,39150.0,37590.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,6152.0,191981.0,183184.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1864.0,74113.0,71607.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,16,Fabricação de produtos de madeira,1534.0,41898.0,39728.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",541.0,25188.0,24407.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,18,Impressão e reprodução de gravações,662.0,15713.0,14753.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",78.0,31996.0,31904.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,20,Fabricação de produtos químicos,619.0,27654.0,26704.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,36.0,3947.0,3908.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,1801.0,66404.0,63691.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,2981.0,91729.0,87161.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,24,Metalurgia,357.0,16965.0,16454.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",3063.0,108863.0,104178.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",339.0,24941.0,24479.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",495.0,29530.0,28828.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,1293.0,41333.0,39385.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",586.0,33790.0,32899.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",171.0,37295.0,37070.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,31,Fabricação de móveis,1679.0,51711.0,49167.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,32,Fabricação de produtos diversos,921.0,24529.0,23151.0,Até 8 anos de idade
geral,2014,C,Indústrias de transformação,33,"Manutenção, reparação e instalação de máquinas e equipamentos",1849.0,56934.0,54180.0,Até 8 anos de idade
geral,2014,D,Eletricidade e gás,35,"Eletricidade, gás e outras utilidades",152.0,13157.0,12782.0,Até 8 anos de idade
geral,2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",36,"Captação, tratamento e distribuição de água",66.0,4134.0,4059.0,Até 8 anos de idade
geral,2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",37,Esgoto e atividades relacionadas,72.0,5804.0,5715.0,Até 8 anos de idade
geral,2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",38,"Coleta, tratamento e disposição de resíduos; recuperação de materiais",671.0,42968.0,42002.0,Até 8 anos de idade
geral,2014,E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",39,Descontaminação e outros serviços de gestão de resíduos,8.0,262.0,250.0,Até 8 anos de idade
geral,2014,F,Construção,41,Construção de edifícios,10498.0,450871.0,435318.0,Até 8 anos de idade
geral,2014,F,Construção,42,Obras de infraestrutura,2318.0,250204.0,246899.0,Até 8 anos de idade
geral,2014,F,Construção,43,Serviços especializados para construção,8512.0,266739.0,254679.0,Até 8 anos de idade
geral,2014,G,Comércio; reparação de veículos automotores e motocicletas,45,Comércio e reparação de veículos automotores e motocicletas,5512.0,148166.0,140085.0,Até 8 anos de idade
geral,2014,G,Comércio; reparação de veículos automotores e motocicletas,46,"Comércio por atacado, exceto veículos automotores e motocicletas",8973.0,283431.0,270173.0,Até 8 anos de idade
geral,2014,G,Comércio; reparação de veículos automotores e motocicletas,47,Comércio varejista,43068.0,1064897.0,999807.0,Até 8 anos de idade
geral,2014,H,"Transporte, armazenagem e correio",49,Transporte terrestre,7107.0,300182.0,289691.0,Até 8 anos de idade
geral,2014,H,"Transporte, armazenagem e correio",50,Transporte aquaviário,111.0,10918.0,10718.0,Até 8 anos de idade
geral,2014,H,"Transporte, armazenagem e correio",51,Transporte aéreo,30.0,11516.0,11458.0,Até 8 anos de idade
geral,2014,H,"Transporte, armazenagem e correio",52,Armazenamento e atividades auxiliares dos transportes,1950.0,104850.0,101921.0,Até 8 anos de idade
geral,2014,H,"Transporte, armazenagem e correio",53,Correio e outras atividades de entrega,861.0,27208.0,26041.0,Até 8 anos de idade
geral,2014,I,Alojamento e alimentação,55,Alojamento,2314.0,64132.0,60677.0,Até 8 anos de idade
geral,2014,I,Alojamento e alimentação,56,Alimentação,18843.0,448682.0,421048.0,Até 8 anos de idade
geral,2014,J,Informação e comunicação,58,Edição e edição integrada à impressão,298.0,7786.0,7356.0,Até 8 anos de idade
geral,2014,J,Informação e comunicação,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",186.0,6567.0,6308.0,Até 8 anos de idade
geral,2014,J,Informação e comunicação,60,Atividades de rádio e de televisão,75.0,4350.0,4240.0,Até 8 anos de idade
