year,seção_id,seção_descrição,divisão_id,divisão_descrição,numero_de_empresas,numero_de_empresas,pessoal_ocupado_assalariados,pessoal_ocupado_assalariados,pessoal_ocupado_total,pessoal_ocupado_total
,,,,,Até 8 anos de idade,Mais de 8 anos de idade,Até 8 anos de idade,Mais de 8 anos de idade,Até 8 anos de idade,Mais de 8 anos de idade
2014,H,"Transporte, armazenagem e correio",53,Correio e outras atividades de entrega,861,1831,26041,179274,27208,181968
2014,I,Alojamento e alimentação,55,Alojamento,2314,8576,60677,273694,64132,287929
2014,I,Alojamento e alimentação,56,Alimentação,18843,37452,421048,1085108,448682,1142252
2014,J,Informação e comunicação,58,Edição e edição integrada à impressão,298,1396,7356,81485,7786,83696
2014,J,Informação e comunicação,59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",186,481,6308,22657,6567,23370
2014,J,Informação e comunicação,60,Atividades de rádio e de televisão,75,1405,4240,78899,4350,80830
2014,J,Informação e comunicação,61,Telecomunicações,677,1422,21374,158885,22455,161136
2014,J,Informação e comunicação,62,Atividades dos serviços de tecnologia da informação,1417,4087,66505,330662,68971,338554
2014,J,Informação e comunicação,63,Atividades de prestação de serviços de informação,583,1259,18031,83490,18964,85528
2014,K,"Atividades financeiras, de seguros e serviços relacionados",64,Atividades de serviços financeiros,514,1829,26316,628802,27572,636342
2014,K,"Atividades financeiras, de seguros e serviços relacionados",65,"Seguros, resseguros, previdência complementar e planos de saúde",66,728,5029,200557,5174,204498
2014,K,"Atividades financeiras, de seguros e serviços relacionados",66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",431,1475,18004,85971,18805,88794
2014,L,Atividades imobiliárias,68,Atividades imobiliárias,919,2756,27096,93864,28550,99088
2014,M,"Atividades profissionais, científicas e técnicas",69,"Atividades jurídicas, de contabilidade e de auditoria",2756,8357,52962,206536,58177,225352
2014,M,"Atividades profissionais, científicas e técnicas",70,Atividades de sedes de empresas e de consultoria em gestão empresarial,439,965,20635,65373,21369,67384
2014,M,"Atividades profissionais, científicas e técnicas",71,Serviços de arquitetura e engenharia; testes e análises técnicas,1324,3730,59357,236524,61528,243446
2014,M,"Atividades profissionais, científicas e técnicas",72,Pesquisa e desenvolvimento científico,26,66,2440,19389,2495,19508
2014,M,"Atividades profissionais, científicas e técnicas",73,Publicidade e pesquisa de mercado,751,1608,27787,85139,28799,87684
2014,M,"Atividades profissionais, científicas e técnicas",74,"Outras atividades profissionais, científicas e técnicas",499,1117,17497,55861,18293,57925
2014,M,"Atividades profissionais, científicas e técnicas",75,Atividades veterinárias,42,112,796,2369,912,2652
2014,N,Atividades administrativas e serviços complementares,77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,2120,4978,57527,194610,60661,202478
2014,N,Atividades administrativas e serviços complementares,78,"Seleção, agenciamento e locação de mão-de-obra",1019,2656,133083,672217,134612,676159
2014,N,Atividades administrativas e serviços complementares,79,"Agências de viagens, operadores turísticos e serviços de reservas",474,1419,14897,50394,15686,52950
2014,N,Atividades administrativas e serviços complementares,80,"Atividades de vigilância, segurança e investigação",1756,3292,139008,733969,141437,738683
2014,N,Atividades administrativas e serviços complementares,81,Serviços para edifícios e atividades paisagísticas,4336,7334,295614,1079596,301534,1089928
2014,N,Atividades administrativas e serviços complementares,82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",5808,9922,284291,879705,292606,894832
2014,O,"Administração pública, defesa e seguridade social",84,"Administração pública, defesa e seguridade social",20,86,2493,26079,2505,26128
2014,P,Educação,85,Educação,7168,22678,179355,811410,192127,855335
2014,Q,Saúde humana e serviços sociais,86,Atividades de atenção à saúde humana,1995,9862,78122,620119,83452,651904
2014,Q,Saúde humana e serviços sociais,87,"Atividades de atenção à saúde humana integradas com assistência social, prestadas em residências coletivas e particulares",530,849,-1,23892,-1,25490
2014,Q,Saúde humana e serviços sociais,88,Serviços de assistência social sem alojamento,2,7,-1,202,-1,218
2014,R,"Artes, cultura, esporte e recreação",90,"Atividades artísticas, criativas e de espetáculos",157,341,3437,7517,3702,8100
2014,R,"Artes, cultura, esporte e recreação",91,Atividades ligadas ao patrimônio cultural e ambiental,10,21,-1,817,-1,865
2014,R,"Artes, cultura, esporte e recreação",92,Atividades de exploração de jogos de azar e apostas,1,5,-1,114,-1,119
2014,R,"Artes, cultura, esporte e recreação",93,Atividades esportivas e de recreação e lazer,1399,2947,30496,80507,32754,85473
2014,S,Outras atividades de serviços,94,Atividades de organizações associativas,24,116,904,4435,991,4952
2014,S,Outras atividades de serviços,95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,998,2480,25543,76495,27038,80444
2014,S,Outras atividades de serviços,96,Outras atividades de serviços pessoais,1962,4628,44224,123333,47307,131064
2014,U,Organismos internacionais e outras instituições extraterritoriais,99,Organismos internacionais e outras instituições extraterritoriais,-1,-1,-1,-1,-1,-1
2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",1,"Agricultura, pecuária e serviços relacionados",1477,3729,83319,308369,86166,317865
2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",2,Produção florestal,520,1101,20313,70117,21216,72373
2015,A,"Agricultura, pecuária, produção florestal, pesca e aquicultura",3,Pesca e aquicultura,81,222,2204,8614,2377,9105
2015,B,Indústrias extrativas,5,Extração de carvão mineral,-1,12,-1,4713,-1,4729
2015,B,Indústrias extrativas,6,Extração de petróleo e gás natural,15,33,1762,3506,1777,3561
2015,B,Indústrias extrativas,7,Extração de minerais metálicos,57,161,9910,83438,9980,83715
2015,B,Indústrias extrativas,8,Extração de minerais não-metálicos,335,1816,8396,69680,8959,73175
2015,B,Indústrias extrativas,9,Atividades de apoio à extração de minerais,43,109,5088,36600,5111,36692
2015,C,Indústrias de transformação,10,Fabricação de produtos alimentícios,3524,12385,154723,1590365,160176,1610939
2015,C,Indústrias de transformação,11,Fabricação de bebidas,197,936,12144,171915,12420,173457
2015,C,Indústrias de transformação,12,Fabricação de produtos do fumo,13,60,713,17569,733,17646
2015,C,Indústrias de transformação,13,Fabricação de produtos têxteis,889,3100,30702,233465,31955,238530
2015,C,Indústrias de transformação,14,Confecção de artigos do vestuário e acessórios,5142,13362,146280,531972,153437,552435
2015,C,Indústrias de transformação,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",1526,3659,56605,322689,58703,328018
2015,C,Indústrias de transformação,16,Fabricação de produtos de madeira,1315,4057,33419,154755,35317,161117
2015,C,Indústrias de transformação,17,"Fabricação de celulose, papel e produtos de papel",497,1853,21704,179391,22378,182365
2015,C,Indústrias de transformação,18,Impressão e reprodução de gravações,570,2143,12227,73937,13055,77377
2015,C,Indústrias de transformação,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",46,287,10920,213204,10966,213633
2015,C,Indústrias de transformação,20,Fabricação de produtos químicos,555,3155,19715,288938,20535,293992
2015,C,Indústrias de transformação,21,Fabricação de produtos farmoquímicos e farmacêuticos,35,374,4052,104028,4096,104563
2015,C,Indústrias de transformação,22,Fabricação de produtos de borracha e de material plástico,1606,5975,53917,365390,56281,374906
2015,C,Indústrias de transformação,23,Fabricação de produtos de minerais não-metálicos,2662,9046,72724,392255,76723,407102
2015,C,Indústrias de transformação,24,Metalurgia,326,1410,17455,214049,17895,216429
2015,C,Indústrias de transformação,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",2702,9334,68160,372351,72182,387899
2015,C,Indústrias de transformação,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",261,1249,12319,130225,12682,132230
2015,C,Indústrias de transformação,27,"Fabricação de máquinas, aparelhos e materiais elétricos",428,1843,25793,214663,26352,217531
2015,C,Indústrias de transformação,28,Fabricação de máquinas e equipamentos,1093,5328,30856,342577,32436,351316
2015,C,Indústrias de transformação,29,"Fabricação de veículos automotores, reboques e carrocerias",503,2290,29569,426377,30286,429845
2015,C,Indústrias de transformação,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",143,502,30338,110229,30530,110965
2015,C,Indústrias de transformação,31,Fabricação de móveis,1472,4944,40004,211311,42261,219497
